round	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
fixed	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	100.3	39.3	59.68	39.3	59.68	0.0	6.63	2	GPU0	1	4.0	1778.6	18.0	23.4	41.4	68.4
fixed	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	yolo.slice	100.0	100.0	169.84	100.0	169.84	0.0	6.50	2	GPU0	1	4.0	788.3	0.0	0.1	0.1	67.2
fixed	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	141.04	100.0	141.04	0.0	6.75	2	GPU0	1	4.0	1279.2	0.0	0.0	0.0	67.2
fixed	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	39.0	54.66	39.0	54.66	0.0	6.53	2	GPU0	1	4.0	2210.8	0.0	0.0	0.0	67.2
fixed	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	133.7	0.0	6.43	0.0	12.39	0.0	6.43	2	GPU1(idle)	0	4.0	95.1	0.0	0.1	0.1	69.1
fixed	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.6	36.9	58.60	36.9	58.60	0.0	6.54	2	GPU0	1	4.0	1753.5	14.4	20.0	34.4	69.5
fixed	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	134.8	0.0	6.54	36.9	58.60	0.0	6.54	2	GPU1(idle)	0	4.0	251.7	0.0	0.1	0.1	69.5
fixed	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	yolo.slice	100.0	100.0	169.72	100.0	169.72	0.0	6.55	2	GPU0	1	4.0	787.8	0.0	0.1	0.1	67.9
fixed	PTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	PT(PyTorch_GEMM)	nodejs.slice	144.2	0.0	6.55	100.0	169.72	0.0	6.55	2	GPU1(idle)	0	4.0	236.6	0.0	0.1	0.1	67.9
fixed	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.3	140.79	99.3	140.79	0.0	6.75	2	GPU0	1	4.0	1278.5	0.0	0.0	0.0	67.9
fixed	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	149.0	0.0	6.75	99.3	140.79	0.0	6.75	2	GPU1(idle)	0	4.0	237.6	0.0	0.1	0.1	67.9
fixed	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	39.6	55.35	39.6	55.35	0.0	6.58	2	GPU0	1	4.0	2197.3	0.0	0.0	0.0	67.9
fixed	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	140.1	0.0	6.58	39.6	55.35	0.0	6.58	2	GPU1(idle)	0	4.0	252.2	0.0	0.1	0.1	67.9
fixed	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	PT(PyTorch_GEMM)	yolo.slice	100.6	37.4	63.78	37.4	63.78	100.0	169.81	2	GPU0	1	4.0	1157.5	9.3	24.8	34.1	67.9
fixed	A2PT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	A2(YOLO_Medium)	nodejs.slice	100.1	100.0	169.81	37.4	63.78	100.0	169.81	2	GPU1	1	4.0	979.5	0.0	0.0	0.0	67.9
fixed	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.6	38.5	59.32	38.5	59.32	99.8	169.44	2	GPU0	1	4.0	1344.5	16.0	23.2	39.2	68.0
fixed	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.0	99.8	169.44	38.5	59.32	99.8	169.44	2	GPU1	1	4.0	1083.2	0.0	0.0	0.0	68.0
fixed	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.7	36.1	69.14	36.1	69.14	37.9	85.67	2	GPU0	1	4.0	1497.2	12.2	23.2	35.4	67.9
fixed	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.1	37.9	85.67	36.1	69.14	37.9	85.67	2	GPU1	1	4.0	1877.7	0.0	0.0	0.0	67.9
fixed	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	RN(ResNet18)	yolo.slice	100.0	100.0	169.80	100.0	169.80	100.0	169.24	2	GPU0	1	4.0	597.1	0.0	0.0	0.0	68.0
fixed	PTRN_concurrent	concurrent	ai_ai	RN(ResNet18)	PT(PyTorch_GEMM)	nodejs.slice	100.0	100.0	169.24	100.0	169.80	100.0	169.24	2	GPU1	1	4.0	1052.4	0.0	0.0	0.0	68.0
fixed	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	GPT(GPT-2)	yolo.slice	100.0	100.0	169.65	100.0	169.65	39.8	87.78	2	GPU0	1	4.0	590.7	0.0	0.0	0.0	68.0
fixed	PTGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	PT(PyTorch_GEMM)	nodejs.slice	100.0	39.8	87.78	100.0	169.65	39.8	87.78	2	GPU1	1	4.0	1989.0	0.0	0.0	0.0	68.0
fixed	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.0	100.0	142.40	100.0	142.40	38.6	86.08	2	GPU0	1	4.0	1076.3	0.0	0.0	0.0	67.8
fixed	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.6	86.08	100.0	142.40	38.6	86.08	2	GPU1	1	4.0	1855.4	0.0	0.0	0.0	67.8
